Number,Descriptor-0,Descriptor-1,Descriptor-2,Descriptor-3,Descriptor-4,Descriptor-5,Descriptor-6,Descriptor-7,Descriptor-8,Descriptor-9,Descriptor-10,Descriptor-11,Descriptor-12,Descriptor-13,Descriptor-14,Descriptor-15,Descriptor-16,Descriptor-17,Descriptor-18,Descriptor-19,Descriptor-20,Descriptor-21,Descriptor-22,Descriptor-23,Descriptor-24,Descriptor-25,Descriptor-26,Descriptor-27,Descriptor-28,Descriptor-29,Descriptor-30,Descriptor-31,Descriptor-32,Descriptor-33,Descriptor-34,Descriptor-35,Descriptor-36,Descriptor-37,Descriptor-38,Descriptor-39,Descriptor-40,Descriptor-41,Descriptor-42,Descriptor-43,Descriptor-44,Descriptor-45,Descriptor-46,Descriptor-47,Descriptor-48,Descriptor-49,Descriptor-50,Descriptor-51,Descriptor-52,Descriptor-53,Descriptor-54,Descriptor-55,Descriptor-56,Descriptor-57,Descriptor-58,Descriptor-59,Descriptor-60,Descriptor-61,Descriptor-62,Descriptor-63,Descriptor-64,Descriptor-65,Descriptor-66,Descriptor-67,Descriptor-68,Descriptor-69,Descriptor-70,Descriptor-71,Descriptor-72,Descriptor-73,Descriptor-74,Descriptor-75,Descriptor-76,Descriptor-77,Descriptor-78,Descriptor-79,Descriptor-80,Descriptor-81,Descriptor-82,Descriptor-83,Descriptor-84,Descriptor-85,Descriptor-86,Descriptor-87,Descriptor-88,Descriptor-89,Descriptor-90,Descriptor-91,Descriptor-92,Descriptor-93,Descriptor-94,Descriptor-95,Descriptor-96,Descriptor-97,Descriptor-98,Descriptor-99,Descriptor-100,Descriptor-101,Descriptor-102,Descriptor-103,Descriptor-104,Descriptor-105,Descriptor-106,Descriptor-107,Descriptor-108,Descriptor-109,Descriptor-110,Descriptor-111,Descriptor-112,Descriptor-113,Descriptor-114,Descriptor-115,Descriptor-116,Descriptor-117,Descriptor-118,Descriptor-119,Descriptor-120,Descriptor-121,Descriptor-122,Descriptor-123,Descriptor-124,Descriptor-125,Descriptor-126,Descriptor-127
165,42,47,82,25,0,0,0,0,196,66,7,0,1,3,1,24,37,2,0,0,12,26,5,19,36,3,0,0,1,1,1,11,107,51,26,4,0,0,0,0,196,45,0,0,2,5,2,24,62,1,0,0,31,49,8,23,12,2,2,3,2,4,2,20,129,23,3,1,0,0,0,2,196,27,0,0,3,2,1,19,96,2,0,1,74,22,2,6,1,2,4,8,15,3,0,1,123,5,0,0,0,0,0,10,196,1,0,1,3,0,0,59,63,0,0,15,67,5,0,9,0,1,3,7,15,3,0,0
166,29,25,74,29,0,0,0,0,197,59,10,1,2,2,1,34,52,3,0,0,38,28,4,23,33,3,0,0,4,3,1,13,65,33,26,4,0,0,0,0,197,51,1,0,4,5,2,26,89,2,0,0,70,54,6,24,18,1,1,3,7,6,3,24,76,15,2,0,0,0,0,2,197,26,0,0,5,2,0,26,125,5,0,2,110,24,1,9,6,8,3,9,19,5,1,4,78,6,0,0,1,0,0,8,197,1,0,2,5,0,0,72,72,1,1,20,82,7,0,13,1,2,6,7,15,4,1,2
167,106,14,0,0,0,0,2,13,191,73,0,2,11,0,0,3,42,13,1,7,119,3,0,1,0,0,1,1,13,7,5,3,82,29,1,2,7,3,2,1,191,63,0,0,8,1,0,1,88,7,0,1,110,18,2,8,3,0,0,0,10,12,21,20,84,9,1,6,22,4,0,5,191,14,0,1,8,1,0,48,93,2,0,6,91,6,1,13,18,1,0,4,14,6,4,11,96,5,3,15,6,0,0,5,191,1,0,2,13,1,1,50,47,7,2,16,79,1,1,10,8,10,6,11,6,0,0,0
168,114,11,0,0,0,0,0,1,199,55,0,1,5,1,0,2,56,14,1,4,66,7,0,2,23,3,0,0,5,1,0,8,119,8,0,0,0,0,0,5,199,32,0,1,4,0,0,14,92,8,0,7,68,2,0,7,40,2,0,1,6,0,0,9,110,5,0,0,0,0,0,7,199,29,0,1,4,1,0,19,94,9,0,5,53,8,1,8,30,5,1,1,4,1,0,7,94,2,0,0,0,0,0,13,199,3,0,0,3,3,1,76,61,1,0,0,52,26,3,24,14,5,3,7,6,2,0,1
169,0,1,1,4,5,3,2,1,105,9,2,2,1,0,0,10,192,2,0,1,9,1,0,61,31,0,0,7,61,3,0,8,0,1,3,8,8,1,1,0,166,10,0,2,2,1,1,4,192,14,0,4,16,0,0,11,30,2,0,23,77,1,0,1,0,0,1,1,5,8,10,3,160,5,0,0,4,3,2,5,192,23,0,1,17,1,0,8,29,2,0,2,85,6,0,1,3,0,0,3,16,5,2,1,132,2,0,3,9,1,0,7,192,5,0,0,12,2,0,30,21,1,0,2,61,8,0,3
170,4,3,0,3,2,0,0,0,139,14,0,0,0,0,0,5,186,6,0,1,2,0,0,24,53,3,1,14,61,0,0,4,4,0,0,2,3,2,3,2,168,23,0,0,0,0,1,4,186,18,0,1,2,0,0,9,53,4,1,15,70,1,0,1,1,0,0,2,1,3,5,1,165,7,0,0,0,0,1,17,186,27,0,0,2,1,0,30,45,5,0,2,75,10,0,3,1,1,1,3,3,1,0,0,122,12,0,0,0,0,0,4,186,47,0,0,1,0,0,12,44,9,0,5,55,2,0,2
171,38,6,2,4,3,0,0,1,201,6,0,0,1,0,0,45,111,2,0,13,72,2,0,18,1,1,2,13,23,0,0,0,53,3,0,2,3,3,2,3,201,12,0,1,3,0,0,10,129,4,0,20,100,2,0,3,6,1,1,13,23,2,2,2,52,2,0,1,9,5,2,2,201,18,0,0,3,0,0,20,121,7,0,1,103,8,0,6,4,0,0,0,23,5,2,4,50,1,0,5,13,1,0,2,201,3,0,0,3,0,0,30,84,1,0,7,78,7,1,9,2,3,2,5,18,3,0,1
172,59,2,0,1,0,0,0,6,204,3,0,0,1,1,0,11,103,0,0,0,40,19,2,5,0,0,0,0,18,11,4,2,78,1,0,0,0,0,0,18,204,3,0,0,1,1,0,39,125,2,0,1,58,21,0,12,0,0,0,2,36,8,1,0,86,11,0,0,0,0,0,1,204,35,0,1,1,0,0,4,122,17,0,16,59,3,0,1,0,0,0,15,39,0,0,0,65,2,0,0,0,0,0,7,204,20,0,0,0,0,0,3,110,8,0,4,43,5,0,1,0,0,0,8,37,2,0,0
173,45,4,0,2,5,2,0,8,141,15,0,0,3,1,0,9,62,2,0,27,141,4,0,3,62,1,1,24,73,0,0,15,67,4,1,1,0,9,2,4,141,20,4,7,8,0,0,27,61,7,6,80,141,1,0,8,110,0,0,14,64,3,1,37,32,3,0,0,36,141,8,8,118,97,41,13,2,1,1,5,13,27,57,107,48,0,2,4,137,9,0,9,13,1,2,15,2,0,0,0,141,141,2,3,13,11,6,0,10,13,2,23,6,4,9,4,0,0,6,23,71,11,0,0,0,0,6,12
174,150,56,0,2,4,0,0,0,67,24,2,27,116,1,0,0,58,19,2,6,20,7,2,6,3,1,0,1,8,23,6,1,150,39,1,2,4,0,0,4,108,24,5,41,144,4,0,2,108,47,3,11,24,1,0,4,12,4,0,1,7,13,7,4,150,1,0,0,5,1,0,31,115,2,0,4,150,36,1,17,137,4,0,1,28,10,2,40,20,0,0,0,7,9,8,16,150,0,0,0,4,1,0,39,78,1,0,2,115,14,2,13,100,2,0,0,20,4,2,23,17,0,0,1,13,6,2,7
175,13,6,2,7,17,0,0,1,20,4,2,23,100,2,0,0,114,15,2,13,79,1,0,2,4,1,0,38,150,0,0,0,7,9,8,16,20,0,0,0,28,10,2,39,137,4,0,1,150,36,1,17,115,2,0,4,5,1,0,30,150,1,0,0,7,13,7,4,12,4,0,1,24,1,0,4,107,47,3,11,144,4,0,2,108,24,5,41,4,0,0,4,150,40,1,2,8,23,6,1,3,1,0,1,19,7,2,5,57,19,2,6,116,1,0,0,66,24,2,27,5,0,0,0,150,57,0,2
176,55,0,0,0,3,3,0,1,199,1,0,0,8,1,0,10,67,0,0,4,97,18,1,3,17,0,0,2,12,7,2,10,71,0,0,1,9,2,0,5,199,2,0,0,9,2,0,24,81,1,0,2,118,20,0,6,9,10,3,4,21,7,1,5,81,6,1,4,11,0,0,4,199,17,0,0,9,1,0,16,80,4,0,3,137,12,0,4,1,8,4,7,38,3,0,1,70,6,1,4,7,0,0,2,199,12,0,0,6,2,0,16,65,2,0,1,109,14,0,4,1,0,1,1,37,6,1,3
177,87,18,0,1,1,0,0,0,202,25,0,0,3,1,0,10,86,4,0,5,63,12,1,7,7,0,0,0,7,3,4,11,111,8,0,0,1,0,0,4,202,14,0,0,4,1,0,27,104,4,0,5,80,10,1,15,14,3,0,0,7,2,3,13,113,1,0,0,1,1,0,6,202,22,0,2,4,0,0,20,97,13,1,13,75,2,0,7,32,2,0,1,6,0,0,15,87,0,0,0,0,0,0,14,202,2,0,2,5,0,0,46,62,1,0,11,45,0,0,12,31,2,0,1,2,0,0,12
178,7,28,52,42,2,0,0,0,16,81,43,2,1,0,0,2,6,31,69,33,24,1,0,1,19,96,42,6,4,0,0,2,21,37,7,7,16,20,1,1,89,36,8,2,6,1,2,43,20,7,4,24,114,3,6,27,94,27,5,4,17,0,3,88,25,4,0,0,31,140,37,5,140,19,2,12,11,8,2,20,15,3,1,27,53,4,21,103,52,0,0,0,3,0,36,140,6,1,0,2,140,140,15,4,64,19,6,3,34,25,2,29,78,2,2,3,2,0,21,140,13,0,0,0,0,0,100,140
179,0,0,28,137,71,0,0,0,3,0,1,123,137,9,5,3,39,103,7,8,56,19,5,2,52,137,111,9,3,1,0,0,1,1,25,137,61,0,0,0,57,6,6,89,36,8,2,13,10,11,2,8,128,51,2,6,9,101,52,4,15,13,0,0,8,2,2,80,137,11,2,1,116,18,6,24,27,5,3,6,12,2,2,25,82,41,15,1,6,13,0,0,11,52,19,13,2,0,0,6,51,81,35,2,37,4,0,1,5,26,69,37,4,1,0,1,8,49,67,10,0,0,0,0,3,34,55,39
180,5,1,0,0,0,0,2,7,126,5,0,0,0,0,2,31,174,8,0,0,5,1,1,87,18,0,0,1,66,5,1,11,5,4,1,0,0,0,0,3,158,39,2,1,0,0,0,4,174,52,0,0,9,1,0,15,27,1,0,3,99,4,0,2,2,1,0,0,1,2,2,3,169,4,1,1,2,3,1,21,174,6,0,3,10,1,0,42,24,1,0,27,96,1,0,2,7,3,0,0,0,1,1,1,145,6,0,0,0,1,1,10,174,28,0,4,11,0,0,6,14,3,0,24,83,0,0,0
181,63,26,3,0,0,0,0,3,188,38,0,0,6,0,0,15,93,6,0,6,95,10,1,4,0,1,1,3,22,13,3,1,100,7,0,0,0,0,0,14,188,13,0,2,10,0,0,59,100,6,2,24,124,0,0,11,0,7,7,14,26,1,0,0,88,7,0,0,0,0,6,26,188,80,0,2,8,0,0,11,83,23,1,9,116,7,2,2,0,1,3,5,17,14,9,1,32,10,0,0,8,5,6,9,188,57,0,0,3,0,0,3,101,11,0,0,51,14,5,6,1,0,0,0,7,15,20,7
182,0,0,0,1,19,4,0,0,133,1,0,1,3,0,0,9,175,3,0,0,14,3,0,16,15,0,0,2,68,10,0,2,1,1,0,7,33,3,0,0,175,11,0,3,4,0,0,5,175,17,0,0,19,3,0,11,20,1,0,2,99,10,0,1,2,1,0,11,39,3,0,0,175,10,0,2,3,0,0,5,175,14,0,0,16,3,0,16,22,1,0,1,102,13,0,2,1,1,0,2,40,12,0,0,131,19,0,0,3,2,0,1,175,42,0,0,11,2,0,0,24,2,0,3,86,7,0,0
183,1,0,0,4,12,1,0,0,150,5,0,1,1,0,0,12,173,16,0,0,18,3,0,12,11,1,0,2,83,7,0,1,3,2,1,7,23,1,0,0,173,24,0,1,0,0,0,4,173,33,0,1,19,3,0,9,20,2,0,1,101,18,0,1,3,2,1,9,20,1,0,0,173,12,0,0,0,0,0,6,173,24,0,0,15,3,0,14,24,2,0,2,101,17,0,1,2,2,1,3,19,7,0,0,116,26,0,0,0,0,0,0,173,57,0,0,7,2,0,0,31,5,0,2,80,13,0,0
184,87,3,0,1,2,0,0,9,204,4,0,1,9,0,0,18,71,3,0,4,73,4,0,6,42,2,0,0,2,1,0,14,127,16,1,3,3,0,0,1,204,14,0,1,7,2,0,8,80,3,0,2,53,20,2,8,44,1,0,0,1,1,2,16,129,13,0,2,4,0,0,2,204,16,0,0,5,1,0,15,77,2,0,1,43,10,2,11,37,0,0,0,1,1,2,30,106,0,0,0,2,1,0,7,204,8,0,1,4,1,0,16,60,4,0,4,31,3,0,6,41,0,0,0,2,0,0,24
185,90,13,8,8,2,0,0,4,194,33,0,1,7,0,0,5,62,14,0,6,77,6,0,2,36,7,0,1,5,1,0,4,116,2,1,1,5,3,2,38,194,22,0,0,3,1,0,24,100,7,0,0,72,20,1,10,37,2,1,0,7,3,0,12,120,1,0,0,1,0,1,29,194,12,0,0,4,1,0,32,105,6,2,10,83,7,0,11,12,22,13,4,8,1,0,2,86,3,0,0,0,0,1,19,194,5,0,1,7,0,0,24,69,2,2,18,90,1,0,8,16,10,4,4,8,0,0,9
186,1,0,0,0,0,0,6,3,149,3,0,0,0,0,1,11,180,9,0,0,10,2,1,11,15,1,0,5,59,4,1,2,1,1,1,1,0,0,4,3,165,17,1,1,0,0,1,5,180,19,0,2,17,2,0,9,21,1,0,12,96,3,0,2,1,1,0,1,1,0,1,2,163,3,0,1,0,0,1,24,180,7,0,4,18,1,0,25,20,1,0,11,95,2,0,1,3,0,0,0,0,0,1,3,149,2,0,0,0,0,0,12,180,1,0,0,17,2,0,17,14,0,0,0,84,5,0,2
187,1,0,0,0,1,2,4,2,150,2,0,0,0,0,2,9,190,14,0,1,5,0,0,3,27,2,0,10,40,1,0,1,2,0,0,0,0,0,4,6,170,6,0,0,0,0,2,9,190,14,0,1,9,0,0,5,39,1,0,12,64,1,0,2,2,0,0,0,0,0,1,4,162,2,0,0,0,0,0,15,190,5,0,1,9,1,0,18,35,1,0,8,70,2,0,1,2,1,0,0,0,0,0,3,139,3,0,0,0,0,0,6,190,9,0,0,7,2,0,9,27,1,0,0,57,10,0,2
188,2,2,1,2,1,1,0,0,158,24,0,0,0,0,0,3,176,48,0,2,24,0,0,0,9,2,0,2,48,3,0,1,2,2,1,5,3,1,0,0,172,33,1,1,1,0,0,2,176,34,0,0,21,2,0,8,17,1,0,1,42,10,2,3,1,1,4,5,2,0,0,0,176,6,0,1,1,0,0,16,176,2,0,0,22,4,0,49,16,1,0,2,43,9,2,4,5,1,2,1,0,0,0,4,169,0,0,0,0,0,0,44,176,0,0,0,20,6,0,63,5,0,0,0,33,11,3,2
189,3,2,0,0,0,2,1,2,152,2,0,0,1,3,1,17,169,10,0,4,10,0,0,22,14,2,0,28,74,0,0,1,11,2,0,0,0,0,1,1,169,11,0,0,0,1,1,8,169,46,0,4,15,0,0,3,17,4,0,17,116,1,0,0,9,6,0,0,0,0,0,1,169,7,0,0,0,0,0,25,169,10,0,3,13,0,0,30,19,2,0,11,108,2,0,0,2,8,3,0,0,0,0,0,151,31,2,0,0,0,0,5,169,21,0,1,9,3,0,12,11,1,0,3,75,12,0,1
190,10,2,0,0,0,0,2,2,78,6,0,0,0,0,0,10,195,8,0,0,1,1,1,44,51,3,0,2,81,27,2,14,1,0,0,0,0,5,15,3,119,6,0,0,0,2,4,8,195,2,0,0,1,1,1,66,58,0,0,0,99,48,3,24,0,2,4,3,2,3,3,0,120,3,1,0,0,2,4,12,195,12,0,0,1,0,0,17,67,3,0,2,120,10,0,4,5,6,7,2,0,0,0,0,100,6,0,0,0,0,0,5,195,28,0,0,0,0,0,11,58,10,0,4,93,3,0,1
191,33,89,13,0,0,0,5,4,32,129,28,0,0,0,2,1,33,129,18,0,0,0,0,0,12,58,2,0,0,0,0,0,23,20,11,4,3,22,129,122,62,120,11,10,25,80,97,15,129,117,1,0,1,3,1,13,38,16,0,0,0,0,0,2,57,46,129,53,8,14,36,60,54,6,77,92,45,42,24,108,129,7,0,1,3,2,2,82,7,1,0,0,0,0,0,0,14,4,27,12,5,12,21,42,58,6,13,5,0,0,12,129,7,0,0,0,0,0,3,37,0,0,0,0,0,0,0,0
192,1,1,1,1,0,0,1,1,105,5,3,1,0,1,1,9,196,6,0,3,9,0,0,24,33,1,0,19,76,0,0,1,0,0,2,5,5,1,0,0,145,18,5,8,4,1,0,3,196,29,1,4,16,0,0,9,32,2,1,32,94,0,0,0,0,0,0,2,6,5,4,0,153,4,0,1,6,8,2,16,196,23,0,4,19,0,0,20,28,4,1,17,105,0,0,0,2,0,0,0,1,8,15,4,104,3,0,0,2,15,7,19,196,21,0,2,12,1,0,33,20,3,0,7,72,7,0,2
193,28,5,3,2,1,0,0,2,195,10,0,1,1,0,0,20,136,4,0,28,67,0,0,5,0,2,3,16,32,0,0,0,40,3,1,3,6,2,1,4,195,13,0,1,2,0,0,22,147,6,0,35,92,0,0,3,1,1,6,17,25,0,0,0,41,0,0,0,1,11,13,12,195,13,0,1,2,1,1,39,119,10,1,18,96,4,0,5,3,4,2,7,25,2,1,1,43,7,8,1,1,5,4,14,195,2,0,0,4,2,1,96,58,0,0,2,72,14,0,22,1,0,0,0,14,10,9,4
194,124,77,0,0,0,1,0,1,154,150,2,6,20,7,0,0,11,15,5,24,63,12,0,0,19,12,2,2,1,2,1,1,90,34,0,0,1,10,3,2,154,109,1,2,12,5,1,5,57,10,1,7,82,39,2,5,36,6,1,0,3,2,1,4,81,4,5,2,2,3,0,35,154,5,0,3,11,2,0,105,60,1,1,16,89,12,1,10,18,2,4,4,5,1,1,2,87,1,1,0,0,0,0,154,125,0,0,4,21,3,3,154,7,0,0,8,56,15,2,8,2,1,4,6,6,3,1,1
195,1,2,1,53,162,0,0,1,64,6,2,22,53,0,0,4,162,9,0,0,0,0,0,5,45,16,1,0,0,0,1,2,1,0,0,50,162,0,0,1,79,11,3,10,45,0,0,4,162,11,0,0,0,0,0,10,55,8,0,0,0,0,0,3,0,0,0,50,162,0,0,0,85,2,1,11,26,0,0,16,162,4,0,0,0,0,0,24,44,11,2,0,0,0,0,4,1,0,0,50,162,0,0,1,82,3,0,3,9,0,0,16,162,3,0,1,0,0,0,13,31,5,1,1,0,0,0,1
196,62,4,2,0,0,0,0,10,189,3,0,0,7,0,0,16,72,2,1,17,112,3,0,4,19,12,4,6,14,1,1,10,105,2,0,0,0,0,0,19,189,4,0,2,11,0,0,30,90,2,0,15,142,2,0,8,25,1,0,1,13,1,2,22,132,11,1,0,0,0,0,5,189,14,0,2,10,1,0,17,76,6,0,8,100,17,1,6,22,2,0,1,6,3,1,7,107,16,0,0,0,0,0,1,189,17,0,1,5,1,0,13,54,2,0,6,59,11,1,7,6,0,0,0,4,2,4,11
197,67,21,2,0,0,0,0,0,202,62,0,0,0,0,0,0,81,20,1,11,3,0,0,0,0,0,0,9,7,1,0,0,92,14,2,0,0,0,0,3,202,16,0,0,0,0,0,6,133,8,1,3,2,4,1,3,0,0,0,1,7,6,2,0,87,1,0,0,0,0,0,31,202,17,0,0,0,0,0,29,143,13,0,1,1,2,1,7,1,0,1,4,9,5,2,1,83,0,0,0,0,0,0,33,202,1,0,0,0,0,0,99,87,1,1,9,3,0,0,20,0,0,3,22,4,0,0,0
198,95,2,0,0,0,1,6,14,208,24,0,0,3,1,0,16,58,5,0,4,33,9,0,3,0,0,0,2,15,14,0,0,105,2,0,0,0,1,4,11,208,24,0,0,3,1,0,13,91,5,1,9,42,13,1,5,0,0,1,7,17,6,0,0,112,11,3,0,0,0,1,12,208,9,0,1,2,1,0,42,87,8,1,10,45,13,1,8,0,0,0,3,18,6,0,0,111,3,1,0,0,0,0,38,208,1,0,1,1,1,0,92,46,1,1,18,25,9,1,10,0,0,2,15,12,2,0,0
199,60,5,0,3,16,2,0,0,204,36,0,0,1,0,0,2,88,12,0,11,61,1,0,1,2,3,1,7,19,0,0,0,75,5,0,8,26,1,0,1,204,16,0,0,1,1,0,29,118,5,0,5,81,9,0,14,4,2,1,4,26,2,0,1,77,7,0,14,19,0,0,3,204,39,0,1,2,0,0,9,115,15,1,19,82,3,0,3,1,7,9,17,27,1,0,0,57,0,0,2,9,4,2,14,204,8,0,0,1,1,0,19,102,3,0,2,63,21,0,7,1,1,1,3,27,12,3,6
200,8,1,0,0,0,0,1,7,98,2,0,0,0,0,0,14,193,5,0,0,2,0,0,17,56,2,0,6,62,1,0,2,8,6,1,0,0,1,1,1,125,22,3,0,0,0,0,3,193,8,0,0,4,1,0,28,54,1,0,17,85,2,0,7,1,2,1,3,3,1,0,1,138,8,2,0,0,0,0,21,193,15,0,0,7,1,0,29,54,3,0,4,112,5,0,3,2,1,0,2,2,0,0,1,142,1,0,0,0,0,0,20,193,1,0,0,6,2,0,65,30,0,0,1,84,11,0,9
201,49,4,2,1,0,0,1,5,205,9,0,0,0,0,0,34,105,1,0,4,18,4,2,15,0,0,0,9,24,5,0,0,65,3,1,1,0,3,6,9,205,14,0,0,1,0,0,31,132,3,0,4,39,5,0,12,0,0,0,4,29,11,0,0,55,2,0,0,0,1,10,11,205,51,0,0,1,0,0,9,140,18,1,4,34,10,0,2,0,0,1,4,18,17,1,0,33,2,1,0,0,1,4,5,205,23,0,0,0,0,0,7,144,11,1,5,28,10,1,4,0,0,1,5,16,4,0,0
202,8,1,0,0,31,6,1,3,133,10,0,0,0,0,0,3,185,10,1,3,6,0,0,6,29,2,17,24,28,0,0,1,3,1,0,2,46,4,0,0,162,16,0,0,0,0,0,2,185,10,0,4,15,0,0,10,29,1,0,13,66,1,0,1,1,1,1,11,31,0,0,0,176,7,1,1,0,0,0,11,185,5,0,3,13,0,0,27,21,1,0,6,47,7,0,1,1,1,3,10,13,0,0,0,161,4,1,2,0,0,0,29,185,0,0,0,12,2,0,69,8,0,0,1,30,8,0,2
203,107,31,0,0,0,0,0,1,200,74,0,0,0,0,0,0,58,14,1,9,11,1,0,1,0,0,1,6,18,2,0,0,80,41,5,4,1,0,0,0,200,70,0,0,0,0,0,4,111,6,1,11,27,5,0,4,0,0,2,17,14,0,0,0,95,8,3,14,1,0,0,11,200,15,1,1,0,0,0,43,104,9,3,37,19,0,0,3,0,0,3,38,5,0,0,0,111,1,0,4,1,0,0,34,200,1,0,1,1,0,0,101,46,1,1,20,21,0,0,7,0,0,1,25,12,0,0,0
204,1,0,0,0,0,0,8,17,116,3,0,0,0,0,2,30,200,18,0,1,5,0,0,6,42,10,2,11,33,2,0,1,4,2,2,1,0,0,1,7,138,24,1,0,0,0,0,5,200,15,0,4,8,0,0,3,49,10,6,32,46,0,0,0,4,2,2,3,4,1,0,1,154,6,2,1,1,0,0,16,200,3,0,2,18,0,0,18,47,3,2,11,78,3,1,6,5,1,0,3,10,1,0,1,148,5,0,1,1,0,0,11,200,6,0,2,12,1,0,12,33,2,0,3,46,5,0,5
205,60,2,0,0,0,0,1,6,200,18,0,0,3,0,0,8,91,9,0,7,63,2,0,3,40,19,1,1,6,0,0,0,75,15,6,5,1,0,0,2,200,8,0,0,5,2,0,45,100,2,0,3,91,16,1,19,46,8,1,1,10,1,0,4,96,21,12,10,1,0,0,2,200,36,0,1,6,0,0,7,93,16,1,10,105,5,0,2,45,12,0,1,12,1,0,3,89,3,2,3,4,2,1,21,200,27,0,0,1,0,0,13,85,11,0,1,57,14,1,5,33,1,0,0,10,3,0,10
206,4,1,0,5,127,19,1,3,86,2,0,1,4,2,2,5,170,7,0,1,6,1,0,3,23,5,0,3,12,1,0,1,1,0,0,1,170,43,3,3,106,4,0,9,19,4,2,6,170,7,0,4,9,0,0,8,24,9,2,9,16,1,0,1,0,0,0,2,170,38,0,0,104,1,0,5,24,9,5,16,170,3,0,1,8,7,1,22,20,3,1,3,14,16,6,10,0,0,0,0,160,55,2,1,62,0,0,0,10,11,14,32,170,4,0,1,4,3,1,19,19,3,1,4,10,8,3,4
207,63,46,6,6,1,0,0,0,205,108,1,1,3,3,0,2,55,9,2,13,34,17,1,2,0,1,4,13,8,2,0,0,84,9,2,14,6,0,0,3,205,54,1,3,3,0,0,9,92,16,5,32,45,2,0,0,0,0,4,28,10,0,0,0,105,2,0,6,3,0,0,20,205,9,0,2,3,0,0,84,79,5,1,18,45,1,0,7,0,0,1,18,24,1,0,0,94,13,0,2,1,0,1,8,205,76,0,0,3,1,0,18,54,9,0,5,42,7,0,2,0,0,0,10,20,3,0,0
208,1,0,0,7,159,1,0,0,97,3,0,0,9,0,0,3,159,1,0,1,5,1,0,8,13,0,1,3,15,4,0,1,0,0,0,2,159,5,0,0,122,5,0,1,11,0,0,2,159,20,1,6,6,0,0,2,13,4,13,18,13,1,0,0,0,1,1,9,159,9,0,0,125,10,2,5,13,0,0,5,159,8,0,1,9,3,0,16,13,1,4,7,30,9,0,1,0,1,0,8,159,2,0,0,114,8,1,3,12,0,0,7,159,5,0,2,8,1,0,12,9,0,0,10,28,3,0,0
209,88,29,0,0,0,0,0,0,199,96,0,0,0,2,1,3,62,9,0,0,27,31,2,3,0,0,0,0,17,32,3,0,96,4,0,0,0,1,2,17,199,24,0,0,1,0,0,46,111,5,0,2,56,10,0,11,0,0,0,1,30,18,1,0,91,14,1,1,0,1,1,7,199,78,0,0,1,0,0,12,106,23,1,1,31,13,0,2,0,0,0,0,20,21,3,0,52,15,1,0,0,0,0,0,199,44,0,0,0,0,0,3,125,7,0,0,17,8,1,8,0,0,0,1,22,9,0,0
210,4,3,0,0,0,0,0,1,143,4,0,0,0,0,0,12,177,11,0,1,8,0,0,27,23,2,0,4,76,3,0,2,3,2,3,1,0,0,0,2,176,18,1,0,0,0,0,3,177,28,0,1,10,0,0,3,32,1,0,10,92,2,0,0,5,4,7,1,0,0,0,0,177,6,1,0,0,0,0,19,177,35,0,1,7,1,0,15,31,9,1,6,94,4,0,0,7,2,0,0,0,0,0,1,131,21,0,0,0,0,0,3,177,45,0,1,2,0,0,5,32,7,0,5,59,2,0,2
211,56,1,0,0,0,0,0,8,205,1,0,0,3,0,0,62,86,0,0,6,85,1,0,17,1,0,0,9,30,1,0,0,89,6,1,0,0,0,0,3,205,8,0,1,5,0,0,11,101,4,0,18,106,2,0,1,5,1,0,19,32,7,1,2,99,7,1,1,1,0,0,2,205,26,0,1,4,0,0,9,89,9,0,7,82,8,2,2,4,0,0,0,15,25,9,6,79,2,0,0,1,0,0,5,205,4,0,0,3,1,0,22,66,0,0,0,40,10,3,5,5,0,0,0,5,15,6,4
212,80,16,0,0,0,0,0,1,205,45,0,0,11,1,0,0,44,4,0,7,84,6,0,0,1,1,0,3,8,2,0,0,95,5,0,1,3,0,0,2,205,20,0,0,9,3,0,8,73,3,0,0,94,32,0,5,1,0,0,0,14,9,1,2,95,3,0,1,2,0,0,2,205,17,0,0,8,1,0,3,87,3,0,0,116,11,0,2,2,0,0,0,24,4,1,4,68,5,0,1,1,0,0,1,205,9,0,0,6,1,0,17,71,0,0,0,94,12,1,6,2,0,0,0,16,4,2,5
213,60,4,0,0,2,6,4,8,185,39,0,0,17,8,1,7,59,10,0,1,85,87,50,25,3,2,3,6,2,9,110,65,60,1,0,0,0,3,8,15,185,14,0,1,7,2,1,30,94,7,1,5,62,21,2,9,5,4,3,9,6,6,2,4,62,3,0,0,0,9,3,9,185,21,2,4,4,1,0,36,85,13,6,38,38,5,0,6,16,3,1,2,4,9,2,4,41,5,1,0,0,1,1,91,185,0,0,4,10,1,1,184,33,1,1,9,36,5,1,18,13,4,3,0,1,1,0,4
214,3,0,0,0,1,17,2,1,171,37,0,0,0,2,1,3,175,74,0,1,0,0,0,0,18,7,1,10,15,0,0,0,0,0,0,5,11,15,2,0,158,38,2,5,5,2,0,2,175,53,1,2,0,0,0,4,34,6,1,22,10,0,0,0,0,0,12,30,7,0,0,0,175,6,2,14,4,0,0,28,175,8,1,4,1,0,0,58,24,3,3,36,7,0,0,1,1,0,6,8,1,6,8,1,175,1,0,2,0,2,2,17,175,1,0,1,4,1,0,23,10,0,0,11,20,5,0,1
